title,platform,problem_id,difficulty,chapter,chapter_num,anchor,tags,techniques
K Closest Points to Origin,LeetCode,973,Medium,Heap,09,lc-k-closest-points-origin,"Grind 75, NeetCode 150","heap, quickselect, sorting"
Car Fleet,LeetCode,853,Medium,Stack and Queue,08,lc-car-fleet,NeetCode 150,"stack, sorting"
Koko Eating Bananas,LeetCode,875,Medium,Array,03,lc-koko-eating-bananas,NeetCode 150,binary-search
Merge Intervals,LeetCode,56,Medium,Array,03,lc-merge-intervals,"Grind 75, Blind 75, NeetCode 150",sorting
Non-overlapping Intervals,LeetCode,435,Medium,Array,03,lc-non-overlapping-intervals,"Blind 75, NeetCode 150",greedy
Interval List Intersections,LeetCode,986,Medium,Array,03,lc-interval-list-intersections,,two-pointer
Insert Interval,LeetCode,57,Hard,Array,03,lc-insert-interval,"Grind 75, Blind 75, NeetCode 150",sorting
Plus One,LeetCode,66,Easy,Array,03,lc-plus-one,NeetCode 150,array
Find Common Characters,LeetCode,1002,Easy,Array,03,lc-find-common-characters,,hash-table
Top K Frequent Elements,LeetCode,347,Medium,Heap,09,lc-top-k-frequent,"Blind 75, NeetCode 150","hash-table, heap, quickselect"
Random Pick Index,LeetCode,398,Medium,Array,03,lc-random-pick-index,Google,reservoir-sampling
Random Pick with Weight,LeetCode,528,Medium,Array,03,lc-random-pick-with-weight,,"probability, binary-search"
Minimum Operations to Make Binary Array Elements Equal to One I,LeetCode,3191,Medium,Array,03,lc-fill-ones,,greedy
Maximum Subarray,LeetCode,53,Easy,Array,03,lc-maximum-subarray,"Grind 75, Blind 75, NeetCode 150",kadanes-algorithm
Maximum Product Subarray,LeetCode,152,Medium,Array,03,lc-maximum-product,"Blind 75, NeetCode 150",kadanes-algorithm
Merge Triplets to Form Target Triplet,LeetCode,1899,Medium,Array,03,lc-merge-triplets-target,NeetCode 150,greedy
Eliminate Maximum Monsters,LeetCode,1921,Medium,Array,03,lc-eliminate-max-monsters,,"sorting, greedy"
Longest Valid Parentheses,LeetCode,32,Hard,Stack and Queue,08,lc-longest-valid-parentheses,,stack
Longest Increasing Subsequence,LeetCode,300,Medium,Dynamic Programming and Backtracking,14,lc-lis,"Blind 75, NeetCode 150","dp-tabulation, binary-search"
Coin Change,LeetCode,322,Medium,Dynamic Programming and Backtracking,14,lc-coin-change,"Grind 75, Blind 75, NeetCode 150","dp-tabulation, dp-unbounded-knapsack"
Meeting Rooms II,LeetCode,253,Medium,Heap,09,lc-meeting-rooms-ii,"Blind 75, NeetCode 150","sorting, greedy, heap"
Find Median from Data Stream,LeetCode,295,Hard,Heap,09,lc-find-median-data-stream,"Blind 75, NeetCode 150","heap, design"
Paint House,LeetCode,256,Easy,Dynamic Programming and Backtracking,14,lc-paint-house,,dp-tabulation
Climbing Stairs,LeetCode,70,Easy,Dynamic Programming and Backtracking,14,lc-climbing-stairs,"Grind 75, Blind 75, NeetCode 150","dp-memoization, dp-tabulation"
Sort Colors,LeetCode,75,Medium,Array,03,lc-sort-colors,Grind 75,two-pointer
Maximum Number of Repetitions,Firecode,NA,Medium,Array,03,fc-max-repetitions,,simulation
House Robber,LeetCode,198,Easy,Dynamic Programming and Backtracking,14,lc-house-robber,"Blind 75, NeetCode 150","dp-memoization, dp-tabulation"
Minimum Size Subarray Sum,LeetCode,209,Medium,Array,03,lc-min-size-subarray-sum,NeetCode 150,sliding-window
Product of Array Except Self,LeetCode,238,Medium,Array,03,lc-product-except-self,"Grind 75, Blind 75, NeetCode 150",prefix-sum
Find the Duplicate Number,LeetCode,287,Medium,Array,03,lc-find-duplicate-number,NeetCode 150,"two-pointer, floyd-cycle-detection"
Best Time to Buy and Sell Stock,LeetCode,121,Easy,Array,03,lc-stock-121,"Grind 75, Blind 75, NeetCode 150",minimax
Best Time to Buy and Sell Stock II,LeetCode,122,Easy,Array,03,lc-stock-122,,greedy
Gas Station,LeetCode,134,Medium,Array,03,lc-gas-station,NeetCode 150,greedy
Best Time to Buy and Sell Stock with Cooldown,LeetCode,309,Medium,Dynamic Programming and Backtracking,14,lc-stock-cooldown,NeetCode 150,"dp-memoization, dp-tabulation"
Minimum Swaps Sequences Increasing,LeetCode,801,Medium,Dynamic Programming and Backtracking,14,lc-min-swaps-increasing,,dp-tabulation
Retrieve Optimal Computation,Firecode,NA,Medium,Dynamic Programming and Backtracking,14,fc-optimal-computation,,dp-tabulation
Shortest Word Distance,LeetCode,NA,Easy,Array,03,lc-shortest-word-distance,,two-pointer
Maximize Distance to Closest Person,LeetCode,849,Medium,Array,03,lc-maximize-distance-closest,,greedy
Hand of Straights,LeetCode,846,Medium,Array,03,lc-hand-of-straights,NeetCode 150,"hash-table, sorting, greedy"
Cutting Ribbons,LeetCode,1891,Medium,Array,03,lc-cutting-ribbons,,binary-search
Number of Zero-Filled Subarrays,LeetCode,2348,Medium,Array,03,lc-zero-filled-subarrays,,simulation
Divide Array Into Arrays With Max Difference,LeetCode,2966,Medium,Array,03,lc-divide-array-max-diff,,"sorting, greedy"
Design Tic-Tac-Toe,LeetCode,348,Medium,Matrix,04,lc-tic-tac-toe,,simulation
Brick Wall,LeetCode,554,Medium,Matrix,04,lc-brick-wall,,hash-table
Battleships in a Board,LeetCode,419,Medium,Matrix,04,lc-battleships-in-board,,dfs
01 Matrix,LeetCode,542,Medium,Matrix,04,lc-01-matrix,,bfs
Word Search,LeetCode,79,Medium,Dynamic Programming and Backtracking,14,lc-word-search,"Grind 75, Blind 75, NeetCode 150","backtracking-mark-unmark-pattern, dfs"
Valid Sudoku,LeetCode,36,Medium,Matrix,04,lc-valid-sudoku,NeetCode 150,"hash-table, matrix-traversal"
Rotate Image,LeetCode,48,Medium,Matrix,04,lc-rotate-image,"Blind 75, NeetCode 150",matrix-manipulation
Spiral Matrix,LeetCode,54,Medium,Matrix,04,lc-spiral-matrix,"Grind 75, Blind 75, NeetCode 150",matrix-traversal
Search a 2D Matrix,LeetCode,74,Medium,Matrix,04,lc-search-matrix,NeetCode 150,binary-search
Search a 2D Matrix II,LeetCode,240,Medium,Matrix,04,lc-search-matrix-ii,,matrix-traversal
Walls and Gates,LeetCode,286,Medium,Matrix,04,lc-walls-and-gates,NeetCode 150,bfs
Pacific Atlantic Water Flow,LeetCode,417,Medium,Matrix,04,lc-pacific-atlantic-water-flow,"Blind 75, NeetCode 150",dfs
Minimum Path Sum,LeetCode,64,Medium,Dynamic Programming and Backtracking,14,lc-min-path-sum,,dp-tabulation
Set Matrix Zeroes,LeetCode,73,Medium,Matrix,04,lc-set-matrix-zeroes,"NeetCode 150, Blind 75, Grind 75, Top 100 Liked",matrix-manipulation
Unique Paths,LeetCode,62,Medium,Dynamic Programming and Backtracking,14,lc-unique-paths,"Grind 75, Blind 75, NeetCode 150",dp-tabulation
Number of Islands,LeetCode,200,Medium,Matrix,04,lc-number-of-islands,"Grind 75, Blind 75, NeetCode 150",dfs
Surrounded Regions,LeetCode,130,Medium,Matrix,04,lc-surrounded-regions,NeetCode 150,"dfs, bfs"
Maximal Square,LeetCode,221,Medium,Dynamic Programming and Backtracking,14,lc-maximal-square,,dp-tabulation
Count Square Submatrices with All Ones,LeetCode,1277,Medium,Dynamic Programming and Backtracking,14,lc-count-square-submatrices,,dp-tabulation
Rotting Oranges,LeetCode,994,Medium,Matrix,04,lc-rotting-oranges,"Grind 75, NeetCode 150","bfs, matrix-manipulation, simulation"
Detect Squares,LeetCode,2013,Medium,Matrix,04,lc-detect-squares,NeetCode 150,"hash-table, matrix-manipulation"
Best Meeting Point,LeetCode,296,Hard,Matrix,04,lc-best-meeting-point,,sorting
Binary Tree Inorder Traversal,LeetCode,94,Easy,Tree,05,lc-inorder-traversal,,"dfs, stack, inorder"
Validate Binary Search Tree,LeetCode,98,Medium,Tree,05,lc-validate-bst,"Grind 75, Blind 75, NeetCode 150","dfs, recursion"
Binary Tree Level Order Traversal,LeetCode,102,Medium,Tree,05,lc-level-order,"Grind 75, Blind 75, NeetCode 150",bfs
Binary Tree Level Order Traversal II,LeetCode,107,Medium,Tree,05,lc-level-order-bottom,,bfs
Balanced Binary Tree,LeetCode,110,Easy,Tree,05,lc-balanced-binary-tree,"Grind 75, NeetCode 150",dfs
Minimum Depth of Binary Tree,LeetCode,111,Easy,Tree,05,lc-min-depth,,dfs
Path Sum,LeetCode,112,Easy,Tree,05,lc-path-sum,,dfs
Populating Next Right Pointers in Each Node,LeetCode,116,Medium,Tree,05,lc-connect-next,,bfs
Binary Tree Preorder Traversal,LeetCode,144,Easy,Tree,05,lc-preorder-traversal,,"dfs, stack, preorder"
Binary Tree Postorder Traversal,LeetCode,145,Easy,Tree,05,lc-postorder-traversal,,"dfs, stack, postorder"
Implement Trie (Prefix Tree),LeetCode,208,Medium,Tree,05,lc-implement-trie,"Blind 75, Grind 75, NeetCode 150","trie, hash-table"
Kth Smallest Element in a BST,LeetCode,230,Medium,Tree,05,lc-kth-smallest-bst,"Grind 75, NeetCode 150, Blind 75, Top 100 Liked","dfs, bst, inorder"
Lowest Common Ancestor of a Binary Search Tree,LeetCode,235,Medium,Tree,05,lc-lca-bst,"Grind 75, NeetCode 150, Blind 75","bst, dfs"
Lowest Common Ancestor of a Binary Tree,LeetCode,236,Medium,Tree,05,lc-lca-binary-tree,"Grind 75, Blind 75, NeetCode 150","dfs, recursion"
Binary Tree Upside Down,LeetCode,156,Medium,Tree,05,lc-upside-down,,recursion
Count Univalue Subtrees,LeetCode,250,Medium,Tree,05,lc-count-univalue,,"dfs, recursion"
Inorder Successor in BST,LeetCode,285,Medium,Tree,05,lc-inorder-successor,,bst
Serialize and Deserialize Binary Tree,LeetCode,297,Hard,Tree,05,lc-serialize-deserialize,,\"bfs, dfs, design, string\"
Binary Tree Longest Consecutive Sequence,LeetCode,298,Medium,Tree,05,lc-bst-longest-consecutive,,dfs
Find Leaves of Binary Tree,LeetCode,366,Medium,Tree,05,lc-find-leaves,,"dfs, recursion"
Diameter of Binary Tree,LeetCode,543,Easy,Tree,05,lc-diameter,"Grind 75, Blind 75, NeetCode 150",dfs
Subtree of Another Tree,LeetCode,572,Easy,Tree,05,lc-subtree-of-another-tree,"Blind 75, NeetCode 150","dfs, recursion"
Count Good Nodes in Binary Tree,LeetCode,1448,Medium,Tree,05,lc-count-good-nodes,NeetCode 150,dfs
Height of Binary Search Tree,HackerRank,height-of-binary-search-tree,Easy,Tree,05,hr-height-bst,,dfs
Distance of Nearest Cell Having 1,Other,NA,Medium,Graph,06,other-nearest-one,,"undirected-graph-bfs, matrix-manipulation"
Graph Serialization,Other,NA,Unclassified,Graph,06,other-graph-serialization,,undirected-graph-bfs
Hardware Build Feasibility,Interview,NA,Medium,Graph,06,interview-hardware-build,,"topological-sort, dag-bfs, dag-dfs, hash-table"
Clone Graph,LeetCode,133,Medium,Graph,06,lc-clone-graph,"Grind 75, Blind 75, NeetCode 150","undirected-graph-dfs, undirected-graph-bfs, hash-table"
Course Schedule,LeetCode,207,Medium,Graph,06,lc-course-schedule,"Grind 75, Blind 75, NeetCode 150","topological-sort, dag-dfs, dag-bfs"
Course Schedule II,LeetCode,210,Medium,Graph,06,lc-course-schedule-ii,NeetCode 150,"topological-sort, dag-bfs"
Graph Valid Tree,LeetCode,261,Medium,Graph,06,lc-graph-valid-tree,"Blind 75, NeetCode 150","undirected-graph-cycle-detection, undirected-graph-dfs, undirected-graph-bfs, union-find"
Alien Dictionary,LeetCode,269,Hard,Graph,06,lc-alien-dict-order,"NeetCode 150, Blind 75","topological-sort, dag-bfs, hash-table"
Number of Connected Components in an Undirected Graph,LeetCode,323,Medium,Graph,06,lc-connected-components,"Blind 75, NeetCode 150","undirected-graph-dfs, undirected-graph-bfs, union-find"
Accounts Merge,LeetCode,721,Medium,Graph,06,lc-accounts-merge,Grind 75,"union-find, undirected-graph-dfs, hash-table"
Network Delay Time,LeetCode,743,Medium,Graph,06,lc-network-delay-time,NeetCode 150,"dijkstra-algorithm, bellman-ford-algorithm, weighted-graph"
Add Two Numbers,LeetCode,2,Medium,Linked List,07,lc-add-two-numbers,"Blind 75, NeetCode 150","linked-list, simulation"
Reverse Linked List,LeetCode,206,Easy,Linked List,07,lc-reverse-linked-list,"Grind 75, Blind 75, NeetCode 150",linked-list
Reverse Linked List II,LeetCode,92,Medium,Linked List,07,lc-reverse-linked-list-ii,,linked-list
Reverse Nodes in k-Group,LeetCode,25,Hard,Linked List,07,lc-reverse-k-group,NeetCode 150,linked-list
Linked List Cycle,LeetCode,141,Easy,Linked List,07,lc-linked-list-cycle,"Grind 75, Blind 75, NeetCode 150","two-pointer, linked-list"
Linked List Cycle II,LeetCode,142,Medium,Linked List,07,lc-linked-list-cycle-ii,,"two-pointer, linked-list"
Odd Even Linked List,LeetCode,328,Medium,Linked List,07,lc-odd-even-list,,linked-list
Merge Two Sorted Lists,LeetCode,21,Easy,Linked List,07,lc-merge-two-sorted,"Grind 75, Blind 75, NeetCode 150",linked-list
Merge k Sorted Lists,LeetCode,23,Hard,Linked List,07,lc-merge-k-sorted,"Grind 75, Blind 75, NeetCode 150","heap, linked-list"
Palindrome Linked List,LeetCode,234,Easy,Linked List,07,lc-palindrome-list,,"two-pointer, linked-list"
Intersection of Two Linked Lists,LeetCode,160,Easy,Linked List,07,lc-intersection-linked-lists,,"two-pointer, linked-list"
Remove Nth Node From End,LeetCode,19,Medium,Linked List,07,lc-remove-nth-node,"Blind 75, NeetCode 150","two-pointer, linked-list"
Insert Node at Position in Doubly Linked List,Other,NA,Easy,Linked List,07,other-insert-dll,,linked-list
Reorder List,LeetCode,143,Medium,Linked List,07,lc-reorder-list,"Blind 75, NeetCode 150","two-pointer, linked-list"
Remove Duplicates from Sorted List,LeetCode,83,Easy,Linked List,07,lc-remove-duplicates,,linked-list
Copy List with Random Pointer,LeetCode,138,Medium,Linked List,07,lc-copy-random-list,NeetCode 150,"hash-table, linked-list"
Group Anagrams,LeetCode,49,Medium,String Manipulation,10,lc-group-anagrams,"Blind 75, NeetCode 150","hash-table, sorting"
Decode Ways,LeetCode,91,Medium,Dynamic Programming and Backtracking,14,lc-decode-ways,"Blind 75, NeetCode 150","dp-memoization, dp-tabulation"
Longest Substring Without Repeating,LeetCode,3,Medium,String Manipulation,10,lc-longest-substring-unique,"Grind 75, Blind 75, NeetCode 150","sliding-window, hash-table"
String to Integer (atoi),LeetCode,8,Medium,String Manipulation,10,lc-string-to-integer-atoi,,"string, simulation"
Find kth Largest Element,LeetCode,215,Medium,Heap,09,lc-kth-largest,"Blind 75, NeetCode 150",heap
Last Stone Weight,LeetCode,1046,Easy,Heap,09,lc-last-stone-weight,NeetCode 150,heap
Merge K Sorted Arrays,Interview,NA,Medium,Heap,09,interview-merge-k-arrays,,heap
Evaluate Reverse Polish Notation,LeetCode,150,Medium,Stack and Queue,08,lc-evaluate-reverse-polish-notation,Grind 75,"stack, string, math"
Min Stack,LeetCode,155,Medium,Stack and Queue,08,lc-min-stack,"NeetCode 150, Grind 75, Top 100 Liked, Blind 75","stack, design"
Implement Queue using Stacks,LeetCode,232,Easy,Stack and Queue,08,lc-implement-queue-using-stacks,"Grind 75, Top 100 Liked","stack, queue, design"
Task Scheduler,LeetCode,621,Medium,Stack and Queue,08,lc-task-scheduler,"Grind 75, NeetCode 150, Top 100 Liked","greedy, heap, hash-table"
Daily Temperatures,LeetCode,739,Medium,Stack and Queue,08,lc-daily-temperatures,NeetCode 150,"stack, monotonic-stack"
Maximum Score From Removing Substrings,LeetCode,1717,Medium,Stack and Queue,08,lc-max-score-removing-substrings,,"stack, greedy"
Validate Properly Nested Brackets,HackerRank,validate-properly-nested-brackets,Easy,Stack and Queue,08,hr-validate-nested-brackets,,stack
Next Greater Element with Position Offset,HackerRank,next-greater-element-position-offset,Medium,Stack and Queue,08,hr-next-greater-offset,,stack
Lock-Free Stack Using Linked List (CAS),Interview,NA,Easy,Stack and Queue,08,interview-lockfree-stack-linked-list,,"stack, linked-list, lock-free, cas"
My Calendar I,LeetCode,729,Medium,Advanced Data Structure,13,lc-my-calendar-i,,bst
Sort List,LeetCode,148,Medium,Linked List,07,lc-sort-list,,"linked-list, sorting-merge-sort"
Insertion Sort List,LeetCode,147,Medium,Linked List,07,lc-insertion-sort-list,,"linked-list, sorting-insertion-sort"
Selection Sort Array,Firecode,NA,Easy,Array,03,fc-selection-sort-array,,sorting
Quick Sort Array,Interview,NA,Medium,Array,03,interview-quick-sort-array,,sorting-quick-sort
Top K Elements,Interview,NA,Medium,Heap,09,interview-top-k-elements,,heap
Binary Representation,Firecode,NA,Easy,String Manipulation,10,fc-binary-representation,,bitwise
Insert Stars,Firecode,NA,Easy,String Manipulation,10,fc-insert-stars,,simulation
Word Ladder,LeetCode,127,Medium,String Manipulation,10,lc-word-ladder,"Grind 75, NeetCode 150",bfs
Longest Common Prefix,LeetCode,14,Easy,String Manipulation,10,lc-longest-common-prefix,,simulation
Letter Combinations of a Phone Number,LeetCode,17,Medium,Dynamic Programming and Backtracking,14,lc-letter-combinations-phone,"Grind 75, NeetCode 150",backtracking-choose-explore-unchoose-pattern
Longest Common Substring,Interview,NA,Medium,Dynamic Programming and Backtracking,14,interview-longest-common-substring,,dp-tabulation
Longest Palindromic Substring,LeetCode,5,Medium,Dynamic Programming and Backtracking,14,lc-longest-palindromic-substring,"Grind 75, Blind 75, NeetCode 150",dp-tabulation
Word Break,LeetCode,139,Medium,Dynamic Programming and Backtracking,14,lc-word-break,"Grind 75, Blind 75, NeetCode 150","dp-memoization, dp-tabulation, trie"
Design Add and Search Words Data Structure,LeetCode,211,Medium,String Manipulation,10,lc-design-add-search-words,"Blind 75, NeetCode 150","trie, dfs, backtracking"
Encode and Decode Strings,LeetCode,271,Medium,String Manipulation,10,lc-encode-decode-strings,"Blind 75, NeetCode 150","string, array, design"
Ransom Note,LeetCode,383,Easy,String Manipulation,10,lc-ransom-note,Grind 75,"hash-table, counting"
Longest Palindrome,LeetCode,409,Easy,String Manipulation,10,lc-longest-palindrome,"Amazon, Google, Intuit","hash-table, greedy"
Longest Repeating Character Replacement,LeetCode,424,Medium,String Manipulation,10,lc-longest-repeating-character-replacement,NeetCode 150,"sliding-window, hash-table"
Find All Anagrams in a String,LeetCode,438,Medium,String Manipulation,10,lc-find-all-anagrams,Grind 75,"sliding-window, hash-table"
Permutation in String,LeetCode,567,Medium,String Manipulation,10,lc-permutation-in-string,NeetCode 150,"sliding-window, hash-table, two-pointer"
Sort Characters By Frequency,LeetCode,451,Medium,String Manipulation,10,lc-sort-characters-by-frequency,,"hash-table, sorting"
Palindromic Substrings,LeetCode,647,Medium,Dynamic Programming and Backtracking,14,lc-palindromic-substrings,"Blind 75, NeetCode 150",dp-tabulation
Verifying an Alien Dictionary,LeetCode,953,Easy,String Manipulation,10,lc-alien-dictionary,,hash-table
First Non-Repeated Character,Interview,NA,Easy,String Manipulation,10,interview-first-non-repeated,,hash-table
Number of Substrings All Three Chars,LeetCode,1358,Medium,String Manipulation,10,lc-substrings-all-three,,sliding-window
Minimum Number of Steps to Make Two Strings Anagram,LeetCode,1347,Medium,String Manipulation,10,lc-min-steps-anagram,,hash-table
Count Elements Greater Than Previous Average,HackerRank,count-elements-greater-than-previous-average,Easy,Array,03,hr-count-elements-greater-avg,,simulation
Count Number Pairs,HackerRank,count-number-pairs,Easy,Array,03,hr-count-number-pairs,,hash-table
Find Index Combinations with Target Weight Sum,HackerRank,find-index-combinations-with-target-weight-sum,Medium,Dynamic Programming and Backtracking,14,hr-index-combinations-target-sum,,backtracking-choose-explore-unchoose-pattern
Merge and Sort Intervals,HackerRank,merge-and-sort-intervals,Medium,Array,03,hr-merge-sort-intervals,,sorting
Minimum Plans to Reach Target Bandwidth,HackerRank,minimum-plans-to-reach-target-bandwidth,Medium,Dynamic Programming and Backtracking,14,hr-min-plans-target-bandwidth,,dp-tabulation
Top K Frequent Events with Order Preservation,HackerRank,top-k-frequent-events-with-order-preservation,Medium,Heap,09,hr-top-k-frequent-events,,"hash-table, heap"
Check Palindrome by Filtering Non-Letters,HackerRank,check-palindrome-filter-non-letters,Easy,String Manipulation,10,hr-check-palindrome-filter,,two-pointer
Generate Valid Angle Bracket Sequences,HackerRank,generate-valid-angle-bracket-sequences,Easy,Dynamic Programming and Backtracking,14,hr-generate-valid-brackets,,backtracking-choose-explore-unchoose-pattern
Max Unique Substring Length in a Session,HackerRank,max-unique-substring-length-in-session,Medium,String Manipulation,10,hr-max-unique-substring-session,,"sliding-window, hash-table"
Power of Two,Firecode,NA,Easy,Math,11,fc-power-of-two,,bitwise
Pow(x; n),LeetCode,50,Medium,Math,11,lc-pow-x-n,NeetCode 150,"dnc, recursion"
Single Number,LeetCode,136,Easy,Math,11,lc-single-number,"Grind 75, NeetCode 150",bit-manipulation
Reverse Bits,LeetCode,190,Easy,Math,11,lc-reverse-bits,"Grind 75, Blind 75, NeetCode 150",bit-manipulation
Number of 1 Bits,LeetCode,191,Easy,Math,11,lc-number-of-1-bits,NeetCode 150,bit-manipulation
Happy Number,LeetCode,202,Easy,Math,11,lc-happy-number,NeetCode 150,"hash-table, two-pointer"
Count Primes,LeetCode,204,Easy,Math,11,lc-count-primes,,sieve
Sum of Two Integers,LeetCode,371,Medium,Math,11,lc-sum-two-integers,"Blind 75, NeetCode 150",bitwise
Reverse Integer,LeetCode,7,Medium,Math,11,lc-reverse-integer,NeetCode 150,simulation
Fibonacci Sequence,Firecode,NA,Easy,Dynamic Programming and Backtracking,14,fc-fibonacci,,dp-tabulation
Implement Rand10() Using Rand7(),LeetCode,470,Medium,Math,11,lc-rand10-using-rand7,,rejection-sampling
Minimum Operations to One,Interview,NA,Medium,Dynamic Programming and Backtracking,14,interview-min-ops-to-one,,dp-tabulation
Custom Fibonacci Sequence,HackerRank,custom-other-fibonacci-sequence,Easy,Dynamic Programming and Backtracking,14,hr-custom-fibonacci-sequence,,dp-tabulation
First Bad Version,LeetCode,278,Easy,Interactive,12,lc-first-bad-version,Grind 75,binary-search
Guess the Word,LeetCode,843,Hard,Interactive,12,lc-guess-the-word,,simulation
Design LRU Cache,LeetCode,146,Medium,Advanced Data Structure,13,lc-lru-cache,"Grind 75, Blind 75, NeetCode 150","hash-table, linked-list"
Design Twitter,LeetCode,355,Medium,Advanced Data Structure,13,lc-design-twitter,NeetCode 150,"hash-table, heap"
Design HashSet,LeetCode,705,Easy,Advanced Data Structure,13,lc-design-hashset,,hash-table
Design HashMap,LeetCode,706,Easy,Advanced Data Structure,13,lc-design-hashmap,,hash-table
Simple Bank System,LeetCode,2043,Medium,Advanced Data Structure,13,lc-simple-bank-system,,"hash-table, simulation"
Implement Stack Using Queues,Interview,NA,Easy,Advanced Data Structure,13,interview-design-stack,,"queue, stack"
Implement Queue,Interview,NA,Easy,Advanced Data Structure,13,interview-design-queue,,queue
Merge In Between Linked Lists,LeetCode,1669,Medium,Linked List,07,lc-merge-in-between,,linked-list
One-Pass Removal of k-th Node from End,HackerRank,one-pass-removal-kth-node-from-end,Medium,Linked List,07,hr-remove-kth-from-end,,"two-pointer, linked-list"
Reverse Even-Indexed Nodes and Append,HackerRank,reverse-even-indexed-nodes-append,Medium,Linked List,07,hr-reverse-even-append,,linked-list
Time Based Key-Value Store,LeetCode,981,Medium,Advanced Data Structure,13,lc-time-based-kv-store,"Grind 75, NeetCode 150, Oracle","hash-table, binary-search"
VIP Customer Scheduler,Interview,Intuit VIP Scheduler,Medium,Heap,09,interview-vip-scheduler,Intuit,"heap, queue"
